,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
0,A-Bomb,Male,Yellow,Human,No Hair,203.0,Marvel Comics,,good,441.0
1,Abe Sapien,Male,Blue,Icthyo Sapien,No Hair,191.0,Dark Horse Comics,Blue,good,65.0
2,Abin Sur,Male,Blue,Ungaran,No Hair,185.0,DC Comics,Red,good,90.0
3,Abomination,Male,Green,Human / Radiation,No Hair,203.0,Marvel Comics,,bad,441.0
4,Abraxas,Male,Blue,Cosmic Entity,Black,0.0,Marvel Comics,,bad,0.0
5,Absorbing Man,Male,Blue,Human,No Hair,193.0,Marvel Comics,,bad,122.0
6,Adam Monroe,Male,Blue,-,Blond,0.0,NBC - Heroes,,good,0.0
7,Adam Strange,Male,Blue,Human,Blond,185.0,DC Comics,,good,88.0
8,Agent 13,Female,Blue,-,Blond,173.0,Marvel Comics,,good,61.0
9,Agent Bob,Male,Brown,Human,Brown,178.0,Marvel Comics,,good,81.0
10,Agent Zero,Male,-,-,-,191.0,Marvel Comics,,good,104.0
11,Air-Walker,Male,Blue,-,White,188.0,Marvel Comics,,bad,108.0
12,Ajax,Male,Brown,Cyborg,Black,193.0,Marvel Comics,,bad,90.0
13,Alan Scott,Male,Blue,-,Blond,180.0,DC Comics,,good,90.0
14,Alex Mercer,Male,-,Human,-,0.0,Wildstorm,,bad,0.0
15,Alex Woolsly,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
16,Alfred Pennyworth,Male,Blue,Human,Black,178.0,DC Comics,,good,72.0
17,Alien,Male,-,Xenomorph XX121,No Hair,244.0,Dark Horse Comics,Black,bad,169.0
18,Allan Quatermain,Male,-,-,-,0.0,Wildstorm,,good,0.0
19,Amazo,Male,Red,Android,-,257.0,DC Comics,,bad,173.0
20,Ammo,Male,Brown,Human,Black,188.0,Marvel Comics,,bad,101.0
21,Ando Masahashi,Male,-,-,-,0.0,NBC - Heroes,,good,0.0
22,Angel,Male,Blue,-,Blond,183.0,Marvel Comics,,good,68.0
23,Angel,Male,-,Vampire,-,0.0,Dark Horse Comics,,good,0.0
24,Angel Dust,Female,Yellow,Mutant,Black,165.0,Marvel Comics,,good,57.0
25,Angel Salvadore,Female,Brown,-,Black,163.0,Marvel Comics,,good,54.0
26,Angela,Female,-,-,-,0.0,Image Comics,,bad,0.0
27,Animal Man,Male,Blue,Human,Blond,183.0,DC Comics,,good,83.0
28,Annihilus,Male,Green,-,No Hair,180.0,Marvel Comics,,bad,90.0
29,Ant-Man,Male,Blue,Human,Blond,211.0,Marvel Comics,,good,122.0
30,Ant-Man II,Male,Blue,Human,Blond,183.0,Marvel Comics,,good,86.0
31,Anti-Monitor,Male,Yellow,God / Eternal,No Hair,61.0,DC Comics,,bad,0.0
32,Anti-Spawn,Male,-,-,-,0.0,Image Comics,,bad,0.0
33,Anti-Venom,Male,Blue,Symbiote,Blond,229.0,Marvel Comics,,-,358.0
34,Apocalypse,Male,Red,Mutant,Black,213.0,Marvel Comics,Grey,bad,135.0
35,Aquababy,Male,Blue,-,Blond,0.0,DC Comics,,good,0.0
36,Aqualad,Male,Blue,Atlantean,Black,178.0,DC Comics,,good,106.0
37,Aquaman,Male,Blue,Atlantean,Blond,185.0,DC Comics,,good,146.0
38,Arachne,Female,Blue,Human,Blond,175.0,Marvel Comics,,good,63.0
39,Archangel,Male,Blue,Mutant,Blond,183.0,Marvel Comics,Blue,good,68.0
40,Arclight,Female,Violet,-,Purple,173.0,Marvel Comics,,bad,57.0
41,Ardina,Female,White,Alien,Orange,193.0,Marvel Comics,Gold,good,98.0
42,Ares,Male,Brown,-,Brown,185.0,Marvel Comics,,good,270.0
43,Ariel,Female,Purple,-,Pink,165.0,Marvel Comics,,good,59.0
44,Armor,Female,Black,-,Black,163.0,Marvel Comics,,good,50.0
